sensor1_id,sensor2_id,fband,weight_raw,weight_adj
1001223,1001217,DELTA,0.0,0.0
1001223,1001244,DELTA,0.0,0.0
1001223,1001246,DELTA,0.0,0.0
1001223,1001206,DELTA,0.0,0.0
1001223,1001207,DELTA,0.0,0.0
1001223,1001201,DELTA,0.0,0.0
1001223,1001202,DELTA,0.0,0.0
1001223,1001230,DELTA,0.0,0.0
1001223,1001231,DELTA,0.0,0.0
1001223,1001214,DELTA,0.0,0.0
1001223,1001215,DELTA,0.0,0.0
1001223,1001254,DELTA,0.0,0.0
1001223,1001255,DELTA,0.0,0.0
1001223,1001224,DELTA,0.0,0.0
1001223,1001225,DELTA,0.0,0.0
1001223,1001210,DELTA,0.0,0.0
1001223,1001211,DELTA,0.0,0.0
1001223,1001249,DELTA,0.0,0.0
1001223,1001250,DELTA,0.0,0.0
1001223,1001238,DELTA,0.0,0.0
1001223,1001239,DELTA,0.0,0.0
1001223,1001262,DELTA,0.0,0.0
1001223,1001263,DELTA,0.0,0.0
1001223,1001256,DELTA,0.0,0.0
1001223,1001257,DELTA,0.0,0.0
1001223,1001237,DELTA,0.0,0.0
1001223,1001218,DELTA,0.0,0.0
1001223,1001258,DELTA,0.0,0.0
1001208,1001235,DELTA,0.4063799901777302,0.0
1001208,1001236,DELTA,0.4401666464578932,0.0
1001208,1001222,DELTA,0.1303055785155878,0.0
1001208,1001223,DELTA,0.5393456197856512,0.0
1001208,1001209,DELTA,0.0,0.0
1001208,1001247,DELTA,0.0,0.0
1001208,1001248,DELTA,0.0,0.0
1001208,1001241,DELTA,0.0,0.0
1001208,1001242,DELTA,0.0,0.0
1001208,1001226,DELTA,0.0,0.0
1001208,1001227,DELTA,0.0,0.0
1001208,1001260,DELTA,0.0,0.0
1001208,1001261,DELTA,0.0,0.0
1001208,1001251,DELTA,0.0,0.0
1001208,1001252,DELTA,0.0,0.0
1001208,1001240,DELTA,0.0,0.0
1001208,1001219,DELTA,0.0,0.0
1001208,1001259,DELTA,0.0,0.0
1001208,1001243,DELTA,0.0,0.0
1001208,1001228,DELTA,0.0,0.0
1001208,1001229,DELTA,0.0,0.0
1001208,1001212,DELTA,0.0,0.0
1001208,1001213,DELTA,0.0,0.0
1001208,1001232,DELTA,0.0,0.0
1001208,1001233,DELTA,0.0,0.0
1001208,1001216,DELTA,0.0,0.0
1001208,1001217,DELTA,0.0,0.0
1001208,1001244,DELTA,0.0,0.0
1001208,1001246,DELTA,0.0,0.0
1001208,1001206,DELTA,0.0,0.0
1001208,1001207,DELTA,0.0,0.0
1001208,1001201,DELTA,0.0,0.0
1001208,1001202,DELTA,0.0,0.0
1001208,1001230,DELTA,0.0,0.0
1001208,1001231,DELTA,0.0,0.0
1001208,1001214,DELTA,0.0,0.0
1001208,1001215,DELTA,0.0,0.0
1001208,1001254,DELTA,0.0,0.0
1001208,1001255,DELTA,0.0,0.0
1001208,1001224,DELTA,0.0,0.0
1001208,1001225,DELTA,0.0,0.0
1001208,1001210,DELTA,0.0,0.0
1001208,1001211,DELTA,0.0,0.0
1001208,1001249,DELTA,0.0,0.0
1001208,1001250,DELTA,0.0,0.0
1001208,1001238,DELTA,0.0,0.0
1001208,1001239,DELTA,0.0,0.0
1001208,1001262,DELTA,0.0,0.0
1001208,1001263,DELTA,0.0,0.0
1001208,1001256,DELTA,0.0,0.0
1001208,1001257,DELTA,0.0,0.0
1001208,1001237,DELTA,0.0,0.0
1001208,1001218,DELTA,0.0,0.0
1001208,1001258,DELTA,0.0,0.0
1001209,1001235,DELTA,0.4249029040640283,0.0
1001209,1001236,DELTA,0.3617978205233121,0.0
1001209,1001222,DELTA,0.3268718376480886,0.0
1001209,1001223,DELTA,0.2944670909028952,0.0
1001209,1001208,DELTA,0.3629818293565197,0.0
1001209,1001247,DELTA,0.0,0.0
1001209,1001248,DELTA,0.0,0.0
1001209,1001241,DELTA,0.0,0.0
1001209,1001242,DELTA,0.0,0.0
1001209,1001226,DELTA,0.0,0.0
1001209,1001227,DELTA,0.0,0.0
1001209,1001260,DELTA,0.0,0.0
1001209,1001261,DELTA,0.0,0.0
1001209,1001251,DELTA,0.0,0.0
1001209,1001252,DELTA,0.0,0.0
1001209,1001240,DELTA,0.0,0.0
1001209,1001219,DELTA,0.0,0.0
1001209,1001259,DELTA,0.0,0.0
1001209,1001243,DELTA,0.0,0.0
1001209,1001228,DELTA,0.0,0.0
1001209,1001229,DELTA,0.0,0.0
1001209,1001212,DELTA,0.0,0.0
1001209,1001213,DELTA,0.0,0.0
1001209,1001232,DELTA,0.0,0.0
1001209,1001233,DELTA,0.0,0.0
1001209,1001216,DELTA,0.0,0.0
1001209,1001217,DELTA,0.0,0.0
1001209,1001244,DELTA,0.0,0.0
1001209,1001246,DELTA,0.0,0.0
1001209,1001206,DELTA,0.0,0.0
1001209,1001207,DELTA,0.0,0.0
1001209,1001201,DELTA,0.0,0.0
1001209,1001202,DELTA,0.0,0.0
1001209,1001230,DELTA,0.0,0.0
1001209,1001231,DELTA,0.0,0.0
1001209,1001214,DELTA,0.0,0.0
1001209,1001215,DELTA,0.0,0.0
1001209,1001254,DELTA,0.0,0.0
1001209,1001255,DELTA,0.0,0.0
1001209,1001224,DELTA,0.0,0.0
1001209,1001225,DELTA,0.0,0.0
1001209,1001210,DELTA,0.0,0.0
1001209,1001211,DELTA,0.0,0.0
1001209,1001249,DELTA,0.0,0.0
1001209,1001250,DELTA,0.0,0.0
1001209,1001238,DELTA,0.0,0.0
1001209,1001239,DELTA,0.0,0.0
1001209,1001262,DELTA,0.0,0.0
1001209,1001263,DELTA,0.0,0.0
1001209,1001256,DELTA,0.0,0.0
1001209,1001257,DELTA,0.0,0.0
1001209,1001237,DELTA,0.0,0.0
